,epoch,train_accuracy_simple,train_accuracy_distil,train_loss_simple,train_loss_distil,valid_accuracy_simple,valid_accuracy_distil
175,175,0.36134,0.3624,0.0012412604093551636,4.780031982421875,0.36024,0.36186
176,176,0.36144,0.36246,0.001240824341773987,4.779789506835938,0.36028,0.36208
177,177,0.36194,0.3627,0.0012403841161727905,4.779549345703125,0.36056,0.36242
178,178,0.36192,0.36278,0.001239953293800354,4.7793080859375,0.3606,0.36262
179,179,0.36216,0.36282,0.001239522213935852,4.7790640625,0.3608,0.36276
180,180,0.36204,0.36294,0.0012387691116333007,4.778660336914062,0.3608,0.3625
181,181,0.36228,0.36306,0.0012386107158660889,4.77857734375,0.36084,0.36274
182,182,0.36236,0.36318,0.0012384688186645508,4.778500229492187,0.36094,0.36268
183,183,0.36226,0.36336,0.0012383404397964478,4.778429243164062,0.36102,0.36292
184,184,0.3624,0.3634,0.001238203444480896,4.778353662109375,0.36106,0.36298
185,185,0.36252,0.36336,0.0012380709409713746,4.778279521484375,0.36112,0.36298
186,186,0.3625,0.3634,0.0012379488706588744,4.778207934570313,0.3611,0.3629
187,187,0.3626,0.3634,0.0012378161716461182,4.778137177734375,0.3612,0.3629
188,188,0.36276,0.36352,0.0012376876258850097,4.77806423828125,0.36124,0.36316
